technology,year,parameter,value,unit,source,further description,file_path
HVDC submarine,2030,FOM,0.35,%/year,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
HVDC submarine,2030,investment,471.16,EUR/MW/km,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
HVDC submarine,2030,lifetime,40.0,years,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
Haber-Bosch,2030,FOM,3.0,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",103 Hydrogen to Ammonia:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
Haber-Bosch,2030,VOM,0.02,EUR/MWh_NH3,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",103 Hydrogen to Ammonia:  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
Haber-Bosch,2030,investment,1297.43,EUR/kW_NH3,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",103 Hydrogen to Ammonia:  Specific investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
Haber-Bosch,2030,lifetime,30.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",103 Hydrogen to Ammonia:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LNG storage tank,2030,FOM,2.0,%/year,"Guesstimate, based on H2 (l) storage tank with comparable requirements.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LNG storage tank,2030,investment,611.59,EUR/m^3,"Hurskainen 2019, https://cris.vtt.fi/en/publications/liquid-organic-hydrogen-carriers-lohc-concept-evaluation-and-tech pg. 46 (59).",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LNG storage tank,2030,lifetime,20.0,years,"Guesstimate, based on H2 (l) storage tank with comparable requirements.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC chemical,2030,investment,2264.33,EUR/t,"Runge et al 2020, pg.7, https://papers.ssrn.com/abstract=3623514",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC chemical,2030,lifetime,20.0,years,"Runge et al 2020, pg.7, https://papers.ssrn.com/abstract=3623514",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC dehydrogenation,2030,FOM,3.0,%/year,"Reu_ et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC dehydrogenation,2030,investment,50728.03,EUR/MW_H2,"Reu_ et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC dehydrogenation,2030,lifetime,20.0,years,"Reu_ et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC dehydrogenation (small scale),2030,FOM,3.0,%/year,"Runge et al 2020, pg.8, https://papers.ssrn.com/abstract=3623514",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC dehydrogenation (small scale),2030,investment,759908.15,EUR/MW_H2,"Runge et al 2020, pg.8, https://papers.ssrn.com/abstract=3623514",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC dehydrogenation (small scale),2030,lifetime,20.0,years,"Runge et al 2020, pg.8, https://papers.ssrn.com/abstract=3623514",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC hydrogenation,2030,FOM,3.0,%/year,"Reu_ et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC hydrogenation,2030,investment,51259.54,EUR/MW_H2,"Reu_ et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC hydrogenation,2030,lifetime,20.0,years,"Reu_ et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC loaded DBT storage,2030,FOM,6.25,%/year,,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC loaded DBT storage,2030,investment,149.27,EUR/t,"Density via Wissenschaftliche Dienste des Deutschen Bundestages 2020, https://www.bundestag.de/resource/blob/816048/454e182d5956d45a664da9eb85486f76/WD-8-058-20-pdf-data.pdf , pg. 11.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC loaded DBT storage,2030,lifetime,30.0,years,,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC transport ship,2030,FOM,5.0,%/year,"Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC transport ship,2030,capacity,75000.0,t_LOHC,"Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC transport ship,2030,investment,31700578.34,EUR,"Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC transport ship,2030,lifetime,15.0,years,"Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC unloaded DBT storage,2030,FOM,6.25,%/year,,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC unloaded DBT storage,2030,investment,132.26,EUR/t,"Density via Wissenschaftliche Dienste des Deutschen Bundestages 2020, https://www.bundestag.de/resource/blob/816048/454e182d5956d45a664da9eb85486f76/WD-8-058-20-pdf-data.pdf , pg. 11.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
LOHC unloaded DBT storage,2030,lifetime,30.0,years,,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
MeOH transport ship,2030,FOM,5.0,%/year,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
MeOH transport ship,2030,capacity,75000.0,t_MeOH,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
MeOH transport ship,2030,investment,31700578.34,EUR,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
MeOH transport ship,2030,lifetime,15.0,years,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
Methanol steam reforming,2030,FOM,4.0,%/year,"Niermann et al (2021): 10.1016/j.rser.2020.110171 , table 4.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
Methanol steam reforming,2030,investment,16318.43,EUR/MW_H2,"Niermann et al (2021): 10.1016/j.rser.2020.110171 , table 4.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
Methanol steam reforming,2030,lifetime,20.0,years,"Niermann et al (2021): 10.1016/j.rser.2020.110171 , table 4.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
NH3 (l) storage tank incl. liquefaction,2030,FOM,2.0,%/year,"Guesstimate, based on H2 (l) storage tank.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
NH3 (l) storage tank incl. liquefaction,2030,investment,161.93,EUR/MWh_NH3,"Calculated based on Morgan E. 2013: doi:10.7275/11KT-3F59 , Fig. 55, Fig 58.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
NH3 (l) storage tank incl. liquefaction,2030,lifetime,20.0,years,"Morgan E. 2013: doi:10.7275/11KT-3F59 , pg. 290",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
NH3 (l) transport ship,2030,FOM,4.0,%/year,"Cihlar et al 2020 based on IEA 2019, Table 3-B",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
NH3 (l) transport ship,2030,capacity,53000.0,t_NH3,"Cihlar et al 2020 based on IEA 2019, Table 3-B",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
NH3 (l) transport ship,2030,investment,74461941.34,EUR,"Cihlar et al 2020 based on IEA 2019, Table 3-B",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
NH3 (l) transport ship,2030,lifetime,20.0,years,"Guess estimated based on H2 (l) tanker, but more mature technology",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
OCGT,2030,FOM,1.78,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",52 OCGT - Natural gas:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
OCGT,2030,VOM,4.5,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",52 OCGT - Natural gas:  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
OCGT,2030,efficiency,0.41,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","52 OCGT - Natural gas:  Electricity efficiency, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
OCGT,2030,investment,435.24,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",52 OCGT - Natural gas:  Specific investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
OCGT,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",52 OCGT - Natural gas:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
PHS,2030,FOM,1.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
PHS,2030,efficiency,0.75,per unit,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
PHS,2030,investment,2208.16,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
PHS,2030,lifetime,80.0,years,IEA2010, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
SMR,2030,FOM,5.0,%/year,Danish Energy Agency,"Technology data for renewable fuels, in pdf on table 3 p.311",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
SMR,2030,efficiency,0.76,per unit (in LHV),"IEA Global average levelised cost of hydrogen production by energy source and technology, 2019 and 2050 (2020), https://www.iea.org/data-and-statistics/charts/global-average-levelised-cost-of-hydrogen-production-by-energy-source-and-technology-2019-and-2050",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
SMR,2030,investment,493470.4,EUR/MW_CH4,Danish Energy Agency,"Technology data for renewable fuels, in pdf on table 3 p.311",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
SMR,2030,lifetime,30.0,years,"IEA Global average levelised cost of hydrogen production by energy source and technology, 2019 and 2050 (2020), https://www.iea.org/data-and-statistics/charts/global-average-levelised-cost-of-hydrogen-production-by-energy-source-and-technology-2019-and-2050",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
SMR CC,2030,FOM,5.0,%/year,Danish Energy Agency,"Technology data for renewable fuels, in pdf on table 3 p.311",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
SMR CC,2030,capture_rate,0.9,EUR/MW_CH4,"IEA Global average levelised cost of hydrogen production by energy source and technology, 2019 and 2050 (2020), https://www.iea.org/data-and-statistics/charts/global-average-levelised-cost-of-hydrogen-production-by-energy-source-and-technology-2019-and-2050",wide range: capture rates betwen 54%-90%,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
SMR CC,2030,efficiency,0.69,per unit (in LHV),"IEA Global average levelised cost of hydrogen production by energy source and technology, 2019 and 2050 (2020), https://www.iea.org/data-and-statistics/charts/global-average-levelised-cost-of-hydrogen-production-by-energy-source-and-technology-2019-and-2050",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
SMR CC,2030,investment,572425.66,EUR/MW_CH4,Danish Energy Agency,"Technology data for renewable fuels, in pdf on table 3 p.311",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
SMR CC,2030,lifetime,30.0,years,"IEA Global average levelised cost of hydrogen production by energy source and technology, 2019 and 2050 (2020), https://www.iea.org/data-and-statistics/charts/global-average-levelised-cost-of-hydrogen-production-by-energy-source-and-technology-2019-and-2050",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
Steam methane reforming,2030,FOM,3.0,%/year,"International Energy Agency (2015): Technology Roadmap Hydrogen and Fuel Cells , table 15.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
Steam methane reforming,2030,investment,470085.47,EUR/MW_H2,"International Energy Agency (2015): Technology Roadmap Hydrogen and Fuel Cells , table 15.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
Steam methane reforming,2030,lifetime,30.0,years,"International Energy Agency (2015): Technology Roadmap Hydrogen and Fuel Cells , table 15.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
air separation unit,2030,FOM,3.0,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",103 Hydrogen to Ammonia:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
air separation unit,2030,investment,729306.18,EUR/t_N2/h,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",103 Hydrogen to Ammonia:  Specific investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
air separation unit,2030,lifetime,30.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",103 Hydrogen to Ammonia:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
battery inverter,2030,FOM,0.34,%/year,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
battery inverter,2030,efficiency,0.96,per unit,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Round trip efficiency DC,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
battery inverter,2030,investment,160.0,EUR/kW,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Output capacity expansion cost investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
battery inverter,2030,lifetime,10.0,years,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx, Note K.",:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
battery storage,2030,investment,142.0,EUR/kWh,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Energy storage expansion cost investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
battery storage,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas,2030,CO2 stored,0.09,tCO2/MWh_th,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas,2030,FOM,12.84,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","81 Biogas Plant, Basic conf.:  Total O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas,2030,capture rate,0.9,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas,2030,efficiency,1.0,per unit,Assuming input biomass is already given in biogas output,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas,2030,fuel,59.0,EUR/MWhth,JRC and Zappa, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas,2030,investment,1539.62,EUR/kW,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","81 Biogas Plant, Basic conf.:  Specific investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas,2030,lifetime,20.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","81 Biogas Plant, Basic conf.:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas CC,2030,CO2 stored,0.09,tCO2/MWh_th,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas CC,2030,FOM,12.84,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","81 Biogas Plant, Basic conf.:  Total O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas CC,2030,capture rate,0.9,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas CC,2030,efficiency,1.0,per unit,Assuming input biomass is already given in biogas output,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas CC,2030,investment,1539.62,EUR/kW,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","81 Biogas Plant, Basic conf.:  Specific investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas CC,2030,lifetime,20.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","81 Biogas Plant, Basic conf.:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas plus hydrogen,2030,FOM,4.0,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",99 SNG from methan. of biogas:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas plus hydrogen,2030,investment,756.0,EUR/kW_CH4,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",99 SNG from methan. of biogas:  Specific investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas plus hydrogen,2030,lifetime,25.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",99 SNG from methan. of biogas:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas upgrading,2030,FOM,2.49,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","82 Biogas, upgrading:  Fixed O&M ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas upgrading,2030,VOM,3.18,EUR/MWh input,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","82 Biogas, upgrading:  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas upgrading,2030,investment,381.0,EUR/kW input,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","82 Biogas, upgrading:  investment (upgrading, methane redution and grid injection)",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biogas upgrading,2030,lifetime,15.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","82 Biogas, upgrading:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass,2030,FOM,4.53,%/year,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass,2030,efficiency,0.47,per unit,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass,2030,fuel,7.0,EUR/MWhth,IEA2011b, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass,2030,investment,2209.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass,2030,lifetime,30.0,years,ECF2010 in DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP,2030,FOM,3.58,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP,2030,VOM,2.1,EUR/MWh_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Variable O&M ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP,2030,c_b,0.46,40°C/80°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP,2030,c_v,1.0,40°C/80°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Cv coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP,2030,efficiency,0.3,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Electricity efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP,2030,efficiency-heat,0.71,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Heat efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP,2030,investment,3210.28,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Nominal investment ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP capture,2030,FOM,3.0,%/year,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP capture,2030,capture_rate,0.9,per unit,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP capture,2030,compression-electricity-input,0.08,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP capture,2030,compression-heat-output,0.14,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP capture,2030,electricity-input,0.02,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP capture,2030,heat-input,0.72,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP capture,2030,heat-output,0.72,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP capture,2030,investment,2700000.0,EUR/(tCO2/h),"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass CHP capture,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass EOP,2030,FOM,3.58,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass EOP,2030,VOM,2.1,EUR/MWh_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Variable O&M ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass EOP,2030,c_b,0.46,40°C/80°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass EOP,2030,c_v,1.0,40°C/80°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Cv coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
biomass EOP,2030,efficiency,0.3,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09c Straw, Large, 40 degree:  Electricity efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
